Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered
,Justin Johnson,SF,SO,6-7,185,"Miami, FL",,86.60,4/10/2026
,Jimma James,SF,SO,6-5,180,"Riverdale, GA",,86.55,4/07/2026
,Kameren Wright,CG,SO,6-6,185,"Gainesville, FL",,86.42,4/21/2026
,RJ Godfrey,SF,SR,6-7,210,"Suwanee, GA",,86.40,4/21/2026
,Chris Lockett Jr.,SG,RS-SO,6-5,200,"New Orleans, LA",,86.35,4/16/2026
,Kaidon Rayfield,PF,FR,6-7,180,"Oklahoma City, OK",,86.17,4/07/2026
,Amdy Ndiaye,PF,SO,6-9,205,"Glen Head, NY",,86.17,4/16/2026
,Gai Chol,C,JR,7-0,235,"Decatur, GA",,86.17,Expected
,Paul McMillan,PG,SR,6-1,170,"Cincinnati, OH",,86.14,4/07/2026
,JR Leonard,SG,FR,6-5,190,"Atlanta, GA",,86.03,4/07/2026
,Sam Murray,PF,SR,6-7,190,"Gulfport, MS",,85.92,4/15/2026
,Emeka Opurum,C,SO,7-0,200,Lagos,,85.86,4/22/2026
,Kellen Robinson,PG,FR,6-0,165,"Little Rock, AR",,85.85,4/20/2026
,Kachi Nzeh,PF,JR,6-9,220,"Newtown, PA",,85.76,Expected
,Jaden Smith,C,SO,6-11,200,"Chicago, IL",,85.67,4/08/2026
,Devin Curtis,PF,JR,6-11,210,"Northridge, CA",,85.53,4/08/2026
,Leland Walker,CG,SR,6-0,155,"Indianapolis, IN",,85.35,4/17/2026
,Justin Houser,C,FR,6-11,,"Camp Hill, PA",,85.33,4/09/2026
,Comeh Emuobor,SF,JR,6-5,190,"Raleigh, NC",,85.30,4/07/2026
,Stephen Osei,C,SO,6-9,200,"Toronto, ON",,85.28,3/30/2026
,Omari Moore,CG,FR,6-3,170,"Plainfield, NJ",,85.28,4/27/2026
,Jarred Hall,PF,JR,6-7,190,"Lebanon, TN",,85.17,4/21/2026
,Alden Applewhite,SF,SR,6-7,210,"Chandler, AZ",,85.10,4/21/2026
,Kellen Hampton,SG,FR,6-6,180,"Hayward, CA",,85.05,4/17/2026
,Isaiah Manning,PF,RS-SO,6-7,200,"Mansfield, TX",,85.05,Expected
,R'Chaun King,PF,SO,6-6,210,"Memphis, TN",,85.05,4/17/2026
,Jaylon Dean-Vines,SG,FR,6-2,180,"Dallas, TX",,85.05,4/07/2026
,Paul Lewis,PG,SR,6-3,165,"Arlington, VA",,84.92,4/08/2026
,Maurice Vassel,PF,SO,6-9,160,"Bronx, NY",,84.75,4/07/2026
,Derek Simpson,PG,SR,6-3,170,"Mount Laurel, NJ",,84.53,4/21/2026
,Paul Djobet,CG,JR,6-6,185,"Fairburn, GA",,84.42,4/08/2026
,Braden Pierce,C,JR,7-0,230,"Woodstock, GA",,84.35,4/08/2026
,Marlon Barnes Jr.,SF,JR,6-6,180,"Cleveland, OH",,84.28,3/30/2026
,Tom House,SF,SR,6-6,200,"Dayton, OH",,84.28,4/16/2026
,Davius Loury,PF,SO,6-7,205,"Chicago, IL",,84.28,4/07/2026
,Chauncey Wiggins,PF,SR,6-9,190,"Loganville, GA",,84.25,4/13/2026
,Klairus Amir,SF,FR,6-7,185,"Marietta, GA",,84.25,4/09/2026
,Hudson Ward,SF,SO,6-7,,"Edmonton, AB",,84.00,3/31/2026
,Jamarques Lawrence,SG,SR,6-3,185,"Roselle, NJ",,84.00,4/21/2026
,Tyler Harris,SF,JR,6-7,180,"Newark, CA",,83.78,4/07/2026
,Dennis Scott,PF,SO,6-8,,"Atlanta, GA",,83.55,4/09/2026
