Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
,Kamari Lands,SF,SR,6-8,220.0,"Indianapolis, IN",,94.45,,4/09/2026,,1439.0,Middle Tennessee,0.66,0.13,0.79,1458.0,1.85,0.6,2.45,102.8,108.9,-6.1,41.856925418569254,46.053946053946056,38.121990369181376,36.23853211009174,41.31643457126425,Full Metrics,Tier 1
,Ven-Allen Lubin,PF,SR,6-8,226.0,"Orlando, FL",,94.08,,4/21/2026,,274.0,NC State,3.57,1.17,4.74,1660.0,4.34,1.2,5.54,119.2,101.0,18.2,57.68645357686454,75.12487512487513,69.82343499197432,73.39449541284402,66.82966152228607,Full Metrics,Tier 1
,Jalen Washington,PF,SR,6-9,210.0,"Gary, IN",,94.06,,4/21/2026,,223.0,Vanderbilt,2.83,2.22,5.05,1297.0,2.92,2.66,5.57,123.2,97.8,25.3,73.66818873668188,67.73226773226774,72.31139646869983,84.25076452599387,73.50023640037874,Full Metrics,Tier 1
,Riley Kugel,SG,SR,6-5,185.0,"Orlando, FL",,93.96,,4/21/2026,,319.0,UCF,2.92,1.54,4.46,1604.0,3.16,1.07,4.23,115.3,100.9,14.3,63.31811263318113,68.63136863136864,67.57624398073835,67.43119266055045,66.11501490634485,Full Metrics,Tier 1
,Zion Cruz,SG,SR,6-5,175.0,"Hillside, NJ",,93.80,,4/14/2026,,2513.0,Rider,-0.33,-1.4,-1.73,1408.0,-0.1,-0.9,-1.01,93.6,116.6,-23.0,18.569254185692547,36.163836163836166,17.897271268057782,10.39755351681957,21.607747996370556,Full Metrics,Tier 1
,Jayden Epps,SG,SR,6-2,195.0,"Suffolk, VA",,93.58,,4/21/2026,,1068.0,Mississippi State,1.64,0.03,1.67,1473.0,1.56,0.79,2.35,108.7,106.5,2.2,40.334855403348556,55.84415584415585,45.184590690208665,48.929663608562684,46.47134880170452,Full Metrics,Tier 1
,Dan Skillings Jr.,SG,SR,6-5,180.0,"Philadelphia, PA",,93.58,,4/20/2026,,551.0,Baylor,2.63,0.7,3.33,1244.0,2.42,1.08,3.5,120.2,104.7,15.5,50.532724505327245,65.73426573426573,58.507223113964685,69.26605504587155,58.738009115371,Full Metrics,Tier 1
,Desmond Claude,PG,SR,6-5,180.0,"Oakdale, CT",,93.52,,4/12/2026,,633.0,Washington,2.15,0.87,3.02,583.0,0.72,-0.8,-0.09,115.7,99.8,15.9,53.12024353120244,60.939060939060944,56.01926163723916,69.87767584097858,58.168366350840834,Full Metrics,Tier 1
,Tyler Nickel,SF,SR,6-7,220.0,"Elkton, VA",,93.44,,4/20/2026,,138.0,Vanderbilt,4.99,1.02,6.02,1954.0,4.15,1.4,5.55,125.9,97.6,28.4,55.403348554033485,89.31068931068933,80.09630818619581,88.99082568807339,73.8568972397359,Full Metrics,Tier 1
,Ty-Laur Johnson,PG,JR,6-0,160.0,"Newark, NJ",,93.28,Expected,,,1142.0,San Diego,0.52,0.97,1.49,1130.0,1.39,1.45,2.84,101.9,113.0,-11.0,54.64231354642314,44.65534465534466,43.739967897271264,28.74617737003058,46.08068176736427,Full Metrics,Tier 1
,Austin Nunez,PG,SR,6-2,170.0,"San Antonio, TX",,93.13,Expected,,,2958.0,UTSA,-2.47,-1.41,-3.88,1021.0,-2.57,-0.2,-2.77,91.9,119.7,-27.8,18.417047184170475,14.785214785214784,0.6420545746388449,3.058103975535168,11.650249081229932,Full Metrics,Tier 1
